Player Name	Position	Team	Price	Total Points	Points Per Game	Games Played	MOTM Votes	Goals	Assists	Clean Sheets	Yellow Cards	Red Cards
Laurie McGeoghogan	MID	NEW	8	10	5	2	5	0	0	0	0	0
Adam Carpenter	DEF	4	8	10	1.666666667	6	0	0	0	0	0	0
Cameron Keith	GK	NEW	8	0	0	0	0	0	0	0	0	0
Cameron Seade	GK	NEW	8	0	0	0	0	0	0	0	0	0
Chris Pope	DEF	NEW	8	0	0	0	0	0	0	0	0	0
Erol Bicer	DEF	NEW	8	0	0	0	0	0	0	0	0	0
Mark Willis	DEF	NEW	8	0	0	0	0	0	0	0	0	0
Olly Rance	DEF	NEW	8	0	0	0	0	0	0	0	0	0
Ant Storr	MID	NEW	8	0	0	0	0	0	0	0	0	0
Sebastian Dzien	FOR	NEW	8	0	0	0	0	0	0	0	0	0
Billy McGregor	FOR	1	8	4	n/a	3	0	0	0	0	0	0
Jonny Burton	DEF	4	8	4	n/a	4	1	1	0	0	0	0
Lewis Campbell	MID	NEW	8	4	n/a	1	0	0	0	0	0	0
Lewis Dowling	DEF	4	8	4	n/a	2	1	0	0	0	0	0
Zee Hamzok	MID	NEW	8	2	n/a	1	0	0	0	0	0	0
Clint Smith	DEF	NEW	8	1	n/a	1	0	0	0	0	0	0
Steve King	MID	NEW	8	1	n/a	1	0	0	0	0	0	0
Sam Clements	FOR	NEW	8	0	n/a	0	0	0	0	0	0	0
